sha	date	author	added	deleted	files	keyword_hit	subject
2371b2f1d9f363043d6b3209c570fcd3d8b3d553	2026-05-02	Seungchan (airstation-01)	5	7	3	0	airstack up instead of docker compose up -d; default is input_prompt terminal for tmux
8d2795ff7c2c945b20d03b9c9378c3f5c1eb685f	2026-05-05	Seungchan (airstation-01)	2	2	2	0	trajectory thickness 1.0; mission_checker xyz axes
5d526c90c3bd626434120c64b4e325c4762047a9	2026-05-12	Seungchan (airstation-01)	1	1	1	0	added retroneighbor annot
08076da05ce235737cc3c392652a8dbbbe2e4b72	2026-05-12	Seungchan (airstation-01)	3	2	3	0	3D annotation boxes visualization better
698f4b7aaaae3f7feb7f99bfd7c5138500164f94	2026-05-12	Seungchan (airstation-01)	4	4	2	1	minor fix on raven's argument on rotation degree init
cd5305b199671cb3da549f7b55d8b8fec492fffc	2026-05-12	Seungchan (airstation-01)	41	15	1	1	option B readme fix
509d9edc3f6b68582dbb40528b936b7152b6919f	2026-05-12	Seungchan (airstation-01)	60	12	4	1	launch raven user's inputs as drone init and env; small fix
aa27f0e825e88bf7d7cfb2b9e0710229f692fcde	2026-05-12	Seungchan (airstation-01)	1	0	1	1	small readme annotation_viz fix
c2a2d476fe7f17ffa443c7c43775a72f3f45caaa	2026-05-12	Seungchan (airstation-01)	2	2	2	0	take drone init x,y,z,quaternions as inputs
4c747d23fc58f92a38dc7ff272b2ce72edfe167c	2026-05-12	Seungchan (airstation-01)	9	3	2	0	annotation visualization v1
8752c2c4a492fa6821fe41d2b5a86456579fc600	2026-05-13	Seungchan (airstation-01)	56	29	2	0	restructuring readme
ca225c1f1c0a09816850e8e9ea369d3376969889	2026-05-18	Seungchan (airstation-01)	1	1	1	0	scene_prep; add colliders
267fef1f6d3cf506548a056ee7763a7bdbad6fed	2026-05-18	Seungchan (airstation-01)	1	1	1	0	adding launch scripts for five scenes
ff64558b243f1bf85f6f7917b4d53531683daf98	2026-05-18	Seungchan (airstation-01)	1	1	1	0	cleaned annotation section
0168b7b7683d854bf24b7ff43ad7cbfb5f9225b0	2026-05-19	Seungchan (airstation-01)	1	1	1	0	mode text visualizer, traj length
0a88ed89c64d9a7939b6acd9157e1872f08bb2c3	2026-05-19	Seungchan (airstation-01)	17	2	3	0	add more environments to readme and launch script
9405b3a3ef3098cf51acc7afe9a06d24efaa2e4c	2026-05-19	Seungchan (airstation-01)	1	1	1	0	add colliders for original 4 envs
63329244d52df4ad7ca2125044651f1e3be70ca7	2026-05-22	Seungchan (airstation-01)	1	1	1	1	fixed orientation annotation
a11998a004cf3f693eb4dae7d53c1e9b9e9b1d3b	2026-05-22	Seungchan (airstation-01)	0	8	2	0	removing warning; remove moderncitydowntown in launch_raven.sh
7ec90cddb8c59226b7842d71514c93de29bc5f29	2026-05-22	Seungchan (airstation-01)	2	2	2	0	modify construction site launch
5476a73c48c88bceb00324d753f67dd9ccd9de1c	2026-05-23	Seungchan (airstation-01)	4	4	4	1	fix issues with lvlm search behavior
15815ea72bfef4ba531af43b905eaf7581688829	2026-05-23	Seungchan Kim	28	0	1	0	Create LICENSE
91ef2e7aacb9d2cbb6bbaf72bdcac7754638a778	2026-05-31	Seungchan Kim	3	1	1	1	fix oral presen
fb4d3003c56aa8fc77995dc36d3167357b533e7c	2026-05-31	Seungchan Kim	1	4	1	1	fix oral presentation
19de4e0fc37bdaf377c1f51eebde37ed5e14e98b	2026-05-31	Seungchan Kim	3	0	1	0	add oral presentation
